ahe,nome,usuario,numero,emissao
PCH,Salto Forqueta,Certel - Cooperativa Regional de Desenvolvimento Teutônia,conforme,conforme
PCH,Cazuza Ferreira,Cazuza Ferreira Energética S/A,conforme,conforme
PCH,Engenheiro Ernesto Jorge Dreher,Boca do Monte Energia,conforme,conforme
PCH,Toca do Tigre,Cesbe S/A Engenharia e Empreendimentos,conforme,conforme
PCH,Marco Baldo,Turvo Energia S A,não conforme, 
PCH, Scholze,Scholze Centrais Elétricas LTDA,não conforme, 
PCH,Capigui,Companhia Estadual de Geração e Transmissão de Energia Elétrica - CEEE GT,conforme,não conforme
PCH,Cachoeira Cinco Veados,Rincão dos Albinos Energática S.A,não conforme, 
PCH,Rincão São Miguel,Rincão São Miguel Energética S.A,não conforme, 
PCH,Quebra Dentes,Quevedos Energética S.A,não conforme, 
PCH,Cotiporã,Cotiporã Energética S/A,não conforme, 
PCH,Linha Emília,Linha Emília Energética S/A,não conforme, 
PCH,Santo Cristo II,Monte Cristo Energia S.A,não conforme, 
PCH, BSBIOS I,BS Bios Ind. e Com. de Biodiesel Sul Brasil LTDA,não conforme, 
PCH,Santa Carolina,Multilagos Geração de Energia,conforme,não conforme
PCH,Bela União (Trincheira),Cooperativa de Geração de Energia e Desenvolvimento - COOPERLUZ,não conforme, 
PCH,Moinho,Desenvix S/A,não conforme, 
PCH,Abranjo,Coop. Regional de Energia e D. Rural Taquarí Jacuí,não conforme, 
PCH,Cascata das Andorinhas,Cooperativa Regional de Eletrificação Rural Alto Uruguai - CRERAL,não conforme, 
PCH,Furnas do Segredo,,não conforme, 
PCH,Morrinhos,Coop. Regional de Energia e D. Rural Taquarí Jacuí,conforme,conforme
PCH,CHG Buricá,Cooperativa de Desenvolvimento Social Entre Rios Ltda,não conforme, 
PCH,Serra dos Cavalinhos I,Brascan Energética S/A,não conforme, 
PCH, Mata da Cobra ,Rede Vivo participações Ltda,não conforme, 
PCH, Domingos do Prata,Usina São Domingos do Prata Ltda,não conforme, 
PCH,CALDAS DE PRATA,Terraplenagem Salvador LTDA,não conforme, 
PCH,Tambaú,BT Geradora de Energia Elétrica S/A,não conforme, 
PCH,Santo Antônio,COOPERLUZ,conforme,conforme
PCH,Ouro,Ouro Energética S.A,não conforme, 
PCH,São Bernardo,RTK Consultoria LTDA,conforme,conforme
PCH,Mirim/ Mata cobra,Centrais Elétricas de Carazinho S.A - Eletrocar,não conforme, 
PCH,Forquilha IV,Central Geradora Hidrelétrica Forquilha Ltda,não conforme, 
PCH,Galópolis,Pro Bios Consultoria e Participações LTDA,não conforme, 
PCH, Passo do Cervo,Usinas Hidrelétrica Bringhenti Ltda.,não conforme, 
PCH,Pezzi,Empresa Energética Campos de Cima da Serra LTDA,não conforme, 
PCH,Jararaca,Hidrotérmica S/A,conforme,não conforme
PCH,Passo do Meio,Consórcio Passo do Meio Energia,não conforme, 
PCH,Da Ilha,Hidrotérmica S/A,conforme,conforme
PCH,Erexim B,Hidrotérmica S/A,não conforme, 
PCH,Santo Cristo,Santo Cristo Energia,não conforme, 
PCH,Engenheiro Henrique Kotzian,PCH Henrique Kotzian,conforme,conforme
PCH, Lagos I,Lagos Comercialização e Geração de Energia Ltda,não conforme, 
PCH,Jardim,Hidrelétrica Jardim Ltda,não conforme, 
PCH,Criúva,Criuva Energética S.A.,conforme,não conforme
PCH,Palanquinho,Serrana Energética S/A,conforme,não conforme
PCH, Pontes Filho,HT Geração de Energia Elétrica Ltda,não conforme, 
PCH,Albano Machado,Geração Luz Empreendimentos e Participações LTDA,não conforme, 
PCH,Quebrada Funda,Hidrotérmica S/A,não conforme, 
PCH,Carlos Gonzatto,Cesbe S/A Engenharia e Empreendimentos,não conforme, 
PCH,Rastro de Auto,Certel - Cooperativa Regional de Desenvolvimento Teutônia,conforme,conforme
PCH,Morro Grande,Hidrelétrica Morro Grande,não conforme, 
PCH, Faxinal,Faxinal Geração de Energia Ltda,não conforme, 
PCH, Santo Antônio,Santo Antônio Geração de Energia LTDA,não conforme, 
PCH,Bela Vista,Central Elétrica Caibi Ltda,não conforme, 
PCH,Serra dos Cavalinhos II,Brascan Energética S/A,não conforme, 
PCH,São Paulo,Hidrotérmica S/A,conforme,não conforme
PCH,Linha Onze Oeste,Linha Onze Oeste Energia Ltda,não conforme, 
PCH,Santa Rosa,Companhia Estadual de Geração e Transmissão de Energia Elétrica - CEEE GT,conforme,não conforme
PCH,Passo do Inferno,Companhia Estadual de Geração e Transmissão de Energia Elétrica - CEEE GT,conforme,não conforme
PCH,Herval,Companhia Estadual de Geração e Transmissão de Energia Elétrica - CEEE GT,conforme,não conforme
