Número do cadastro;Número da portaria;Nome do usuário de água;Natureza da intervenção;Tipo da Fonte de Captação;Tipo de Intervenção;Classificação;Status;Observação;Data de início do cadastro;Data de saída do processo;Vazão média;Vazão máxima;Unidade de medida da vazão;Volume normal armazenado (m³);Finalidades de Uso;Bacia Hidrográfica;Corpo Hídrico;Sistema Aquífero;Município;Nome da Geometria;Latitude;Longitude;Latitude (ponto final);Longitude (ponto final)
2020/011.303;-;VALE DO TURVO HIDRELÉTRICA LTDA;Água Superficial;Barragem de nível;Cadastro apenas da barragem;Cadastro;Aguardando análise;-;07/07/2020;29/07/2020;-;-;-;1698000;Aproveitamento hidrelétrico;Bacia Hidrográfica do Rio Taquari-Antas;Rio Turvo;-;Ipê;Ponto 1;"-28,7525216253112";"-51,435100273593";-;-
2020/011.100;-;Mafaldo Lionço;Água Superficial;Barragem de acumulação;Cadastro apenas da barragem;Cadastro;Concluído;-;06/07/2020;08/07/2020;-;-;-;"439201,91";Aproveitamento hidrelétrico;Bacia Hidrográfica do Rio Taquari-Antas;Arroio Vieira;-;Ipê;Ponto 1;"-28,8459442445785";"-51,1576380730548";-;-
2020/010.833;R-001.538/2020;VALE DO TURVO HIDRELÉTRICA LTDA;Água Superficial;Barragem de nível;Cadastro apenas da barragem;Reserva de disponibilidade hídrica;Concedida;-;30/06/2020;07/08/2020;-;-;-;1017000;Aproveitamento hidrelétrico;Bacia Hidrográfica do Rio Taquari-Antas;Ituim;-;Muitos Capões;Ponto 1;"-28,6380834202961";"-51,3851670514305";-;-
2020/010.778;R-001.678/2020;VALE DO TURVO HIDRELÉTRICA LTDA;Água Superficial;Barragem de nível;Cadastro apenas da barragem;Reserva de disponibilidade hídrica;Concedida;-;29/06/2020;21/07/2020;-;-;-;1490000;Aproveitamento hidrelétrico;Bacia Hidrográfica do Rio Taquari-Antas;Rio Turvo;-;André da Rocha;Ponto 1;"-28,6488482889169";"-51,4116458188255";-;-
2020/010.688;-;VALE DO TURVO HIDRELÉTRICA LTDA;Água Superficial;Barragem de nível;Cadastro apenas da barragem;Cadastro;Desativado;-;26/06/2020;29/06/2020;-;-;-;880000;Aproveitamento hidrelétrico;Bacia Hidrográfica do Rio Taquari-Antas;Rio Turvo;-;André da Rocha;Ponto 1;"-28,6367925205074";"-51,4021186124046";-;-
2020/010.683;R-001.539/2020;VALE DO TURVO HIDRELÉTRICA LTDA;Água Superficial;Barragem de nível;Cadastro apenas da barragem;Reserva de disponibilidade hídrica;Concedida;-;26/06/2020;07/08/2020;-;-;-;5000;Aproveitamento hidrelétrico;Bacia Hidrográfica do Rio Taquari-Antas;Rio Turvo;-;André da Rocha;Ponto 1;"-28,5703394046889";"-51,406882215615";-;-
2020/010.278;-;Clênio Antonio Pivoto;Água Superficial;Barragem de nível;Cadastro apenas da barragem;Cadastro;Concluído;-;22/06/2020;22/06/2020;-;-;-;2000;Aproveitamento hidrelétrico;Bacia Hidrográfica do Rio Ibicuí;Arroio Piquiri;-;São Francisco de Assis;Ponto 1;"-29,4534249573119";"-54,853298664093";-;-
2020/009.773;O-001.394/2020;BOA VISTA DO CADEADO ENERGIA LTDA.;Água Superficial;Barragem de nível;Cadastro apenas da barragem;Outorga;Concedida;-;12/06/2020;21/07/2020;-;-;-;248100;Aproveitamento hidrelétrico;Bacia Hidrográfica do Rio Ijuí;Rio Ijuizinho;-;Boa Vista do Cadeado;Ponto 1;"-28,7956620902534";"-53,9714683208623";-;-
2020/009.716;R-001.236/2020;AÇO METAIS FRAIBURGO LTDA;Água Superficial;Barragem de nível;Cadastro apenas da barragem;Reserva de disponibilidade hídrica;Concedida;-;11/06/2020;11/06/2020;-;-;-;0;Aproveitamento hidrelétrico;Bacia Hidrográfica dos Rios Apuaê - Inhandava;Arroio Guabijú;-;Esmeralda;Ponto 1;"-28,0138986023676";"-51,0500254745448";-;-
2020/009.495;-;HIDROELETRICA DIVISA LTDA;Água Superficial;Barragem de nível;Cadastro apenas da barragem;Cadastro;Concluído;-;09/06/2020;09/06/2020;-;-;-;38138;Aproveitamento hidrelétrico;Bacia Hidrográfica do Rio Ijuí;Arroio Divisa;-;Condor;Ponto 1;"-28,2213";"-53,5629";-;-
2020/009.392;R-001.572/2020;Cassiano Collet;Água Superficial;Barragem de nível;Cadastro apenas da barragem;Reserva de disponibilidade hídrica;Concedida;-;08/06/2020;21/07/2020;-;-;-;"11689,59";Aproveitamento hidrelétrico;Bacia Hidrográfica dos Rios Apuaê - Inhandava;Rio Marmeleiro;-;Barracão;Ponto 1;"-27,6967850415058";"-51,5042064125009";-;-
2020/008.760;O-001.056/2020;IJUI CENTENARIA GERACAO SPE LTDA;Água Superficial;Barragem de nível;Cadastro apenas da barragem;Outorga;Concedida;-;28/05/2020;02/06/2020;-;-;-;26759;Aproveitamento hidrelétrico;Bacia Hidrográfica do Rio Ijuí;Rio Potiribu;-;Ijuí;Ponto 1;"-28,3713467861906";"-53,8794412024506";-;-
2020/007.726;R-001.106/2020;AÇO METAIS FRAIBURGO LTDA;Água Superficial;Barragem de nível;Cadastro apenas da barragem;Reserva de disponibilidade hídrica;Concedida;-;16/05/2020;29/05/2020;-;-;-;0;Aproveitamento hidrelétrico;Bacia Hidrográfica dos Rios Apuaê - Inhandava;Arroio Guabijú;-;Esmeralda;Ponto do Barramento;"-28,0183100523146";"-51,0574126226783";-;-
2020/007.390;O-001.051/2020;COPREL Cooperativa de Geração de Energia e Desenvolvimento;Água Superficial;Barragem de nível;Cadastro apenas da barragem;Outorga;Concedida;-;12/05/2020;01/06/2020;-;-;-;"604917,495";Aproveitamento hidrelétrico;Bacia Hidrográfica do Alto Jacuí;Rio Jacuí;-;Victor Graeff;Ponto 2;"-28,6720639800573";"-52,7260065078735";-;-
2020/007.307;-;Ivo Falavigna;Água Superficial;Barragem de acumulação;Cadastro apenas da barragem;Cadastro;Concluído;-;11/05/2020;03/07/2020;-;-;-;4801;Aproveitamento hidrelétrico;Bacia Hidrográfica do Rio Taquari-Antas;Arroio Goiabal;-;Ipê;Ponto 2;"-28,8290647804011";"-51,170357465744";-;-
2020/007.285;-;Mafaldo Lionço;Água Superficial;Barragem de acumulação;Cadastro apenas da barragem;Cadastro;Concluído;-;11/05/2020;06/07/2020;-;-;-;"56650,4";Aproveitamento hidrelétrico;Bacia Hidrográfica do Rio Taquari-Antas;Arroio Goiabal;-;Ipê;Ponto 1;"-28,8541386316397";"-51,1637914180756";-;-
2020/007.279;-;Mafaldo Lionço;Água Superficial;Barragem de acumulação;Cadastro apenas da barragem;Cadastro;Concluído;-;11/05/2020;08/07/2020;-;-;-;1770;Aproveitamento hidrelétrico;Bacia Hidrográfica do Rio Taquari-Antas;Arroio Goiabal;-;Ipê;Ponto 1;"-28,8402303450079";"-51,1686837673187";-;-
2020/006.741;-;CONSTRUNÍVEL ENERGIAS RENOVÁVEIS LTDA;Água Superficial;Barragem de nível;Cadastro apenas da barragem;Cadastro;Aguardando alterações de dados inconsistentes;-;01/05/2020;22/06/2020;-;-;-;0;Aproveitamento hidrelétrico;Bacia Hidrográfica dos Rios Apuaê - Inhandava;Arroio da Glória;-;Pinhal da Serra;Ponto central do barramento;"-27,8099371429907";"-51,2448983019806";-;-
2020/006.277;-;Fernando Isoton;Água Superficial;Barragem de nível;Cadastro apenas da barragem;Cadastro;Aguardando alterações de dados inconsistentes;-;24/04/2020;13/08/2020;-;-;-;0;Aproveitamento hidrelétrico;Bacia Hidrográfica do Rio Ibicuí;Rio Toropi-Mirim;-;Quevedos;Ponto 1;"-29,3524";"-54,1755";-;-
2020/005.099;O-000.870/2020;BT GERADORA DE ENERGIA ELETRICA S.A.;Água Superficial;Barragem de nível;Cadastro apenas da barragem;Outorga;Concedida;-;27/03/2020;24/04/2020;-;-;-;3257500;Aproveitamento hidrelétrico;Bacia Hidrográfica do Rio da Várzea;Rio Guarita;-;Erval Seco;Ponto 1;"-27,5612";"-53,5789";-;-
2020/002.905;-;HDE 01 PARTICIPACOES SOCIETARIAS EIRELI;Água Superficial;Barragem de acumulação;Cadastro apenas da barragem;Cadastro;Aguardando alterações de dados inconsistentes;-;20/02/2020;30/09/2020;-;-;-;15000;Aproveitamento hidrelétrico;Bacia Hidrográfica do Rio Taquari-Antas;Arroio São Marcos;-;Caxias do Sul;Ponto 1;"-29,0231519320435";"-51,0080409049988";-;-
2020/002.866;-;LINHA ONZE OESTE ENERGIA LTDA;Água Superficial;Barragem de nível;Cadastro apenas da barragem;Cadastro;Aguardando formalização de documentos;-;19/02/2020;07/08/2020;-;-;-;"1141579,48";Aproveitamento hidrelétrico;Bacia Hidrográfica do Rio Ijuí;Rio Ijuí;-;Coronel Barros;Ponto 1;"-28,3511124417778";"-54,0045500199785";-;-
2020/002.683;-;Cooperativa de Geração de Energia e Desenvolvimento Social LTDA;Água Superficial;Barragem de nível;Cadastro apenas da barragem;Cadastro;Aguardando formalização de documentos;-;17/02/2020;05/03/2020;-;-;-;79464;Aproveitamento hidrelétrico;Bacia Hidrográfica dos Rios Turvo - Santa Rosa - Santo Cristo;Rio Buricá;-;Chiapetta;Ponto 1;"-27,9612491935233";"-53,9701307613505";-;-
2020/001.754;O-000.956/2020;BORTOLON AGROCOMERCIAL EIRELI;Água Superficial;Barragem de acumulação;Cadastro apenas da barragem;Outorga;Concedida;-;31/01/2020;11/05/2020;-;-;-;"20588,4";Aproveitamento hidrelétrico;Bacia Hidrográfica dos Rios Apuaê - Inhandava;Rio Socorro;-;Vacaria;Ponto 1;"-28,2990821433521";"-50,8559701377817";-;-
2020/001.523;R-000.836/2020;ENERBIO SERVICOS DE ENGENHARIA LTDA;Água Superficial;Barragem de nível;Cadastro apenas da barragem;Reserva de disponibilidade hídrica;Concedida;-;28/01/2020;09/04/2020;-;-;-;300000;Aproveitamento hidrelétrico;Bacia Hidrográfica do Rio da Várzea;Rio Fortaleza;-;Erval Seco;Ponto 1;"-27,4186";"-53,5472";-;-
2020/001.400;-;BARRA DOS CAIXÕES EMPREENDIMENTOS EM ENERGIA LTDA;Água Superficial;Barragem de acumulação;Cadastro apenas da barragem;Cadastro;Concluído;-;24/01/2020;24/01/2020;-;-;-;23720000;Aproveitamento hidrelétrico;Bacia Hidrográfica do Alto Jacuí;Rio Jacuizinho;-;Arroio do Tigre;Ponto 1;"-29,1970141088696";"-53,0740928649902";-;-
2020/001.393;-;LAGOÃO EMPREENDIMENTOS EM ENERGIA LTDA;Água Superficial;Barragem de acumulação;Cadastro apenas da barragem;Cadastro;Concluído;-;24/01/2020;24/01/2020;-;-;-;4830000;Aproveitamento hidrelétrico;Bacia Hidrográfica do Alto Jacuí;Rio Jacuizinho;-;Arroio do Tigre;Ponto 1;"-29,2077653808761";"-53,0951642990112";-;-
2020/001.383;-;FLORESTA EMPREENDIMENTOS EM ENERGIA S/A;Água Superficial;Barragem de acumulação;Cadastro apenas da barragem;Cadastro;Concluído;-;24/01/2020;24/01/2020;-;-;-;13760000;Aproveitamento hidrelétrico;Bacia Hidrográfica do Alto Jacuí;Rio Jacuizinho;-;Arroio do Tigre;Ponto 1;"-29,2995360263117";"-53,143036365509";-;-
2020/001.330;-;TAQUARAL EMPREENDIMENTOS EM ENERGIA LTDA;Água Superficial;Barragem de acumulação;Cadastro apenas da barragem;Cadastro;Concluído;-;23/01/2020;23/01/2020;-;-;-;13000000;Aproveitamento hidrelétrico;Bacia Hidrográfica do Alto Jacuí;Rio Jacuizinho;-;Arroio do Tigre;Ponto 1;"-29,3237847550153";"-53,1617045402527";-;-
2020/000.802;-;CONSTRUNÍVEL ENERGIAS RENOVÁVEIS LTDA;Água Superficial;Barragem de nível;Cadastro apenas da barragem;Cadastro;Desativado;-;16/01/2020;16/01/2020;-;-;-;0;Aproveitamento hidrelétrico;Bacia Hidrográfica dos Rios Apuaê - Inhandava;Arroio da Glória;-;Pinhal da Serra;Ponto Barramento;"-27,8099241856622";"-51,2446845106991";-;-
2020/000.536;-;USINA HIDRELETRICA SUZANA I LTDA;Água Superficial;Barragem de nível;Cadastro apenas da barragem;Cadastro;Aguardando formalização de documentos;-;13/01/2020;29/07/2020;-;-;-;246398;Aproveitamento hidrelétrico;Bacia Hidrográfica dos Rios Apuaê - Inhandava;Rio Suzana;-;Gaurama;Centro barramento;"-27,5152597908802";"-52,082783435041";-;-
2020/000.360;O-000.645/2020;COOPERATIVA DE DESENVOLVIMENTO SOCIAL ENTRE RIOS LTDA.;Água Superficial;Barragem de nível;Cadastro apenas da barragem;Outorga;Concedida;-;09/01/2020;02/03/2020;-;-;-;280000;Aproveitamento hidrelétrico;Bacia Hidrográfica dos Rios Turvo - Santa Rosa - Santo Cristo;Rio Buricá;-;Inhacorá;Ponto 1;"-27,8971975174369";"-54,1075158119202";-;-
2020/000.225;-;ALOIRI PAULO FRIGO;Água Superficial;Barragem de nível;Cadastro apenas da barragem;Cadastro;Desativado;-;07/01/2020;17/02/2020;-;-;-;950;Aproveitamento hidrelétrico;Bacia Hidrográfica do Rio Taquari-Antas;Arroio Barra Grande;-;Paraí;Ponto Centro Barragem;"-28,6557368700625";"-51,8270532550477";-;-
2019/025.605;R-000.837/2020;CONSTRUNÍVEL ENERGIAS RENOVÁVEIS LTDA;Água Superficial;Barragem de acumulação;Cadastro apenas da barragem;Reserva de disponibilidade hídrica;Concedida;-;17/12/2019;08/04/2020;-;-;-;0;Aproveitamento hidrelétrico;Bacia Hidrográfica dos Rios Apuaê - Inhandava;Arroio da Glória;-;Pinhal da Serra;Ponto 1;"-27,8221323593531";"-51,2537617065137";-;-
2019/025.588;-;CONSTRUNÍVEL ENERGIAS RENOVÁVEIS LTDA;Água Superficial;Barragem de nível;Cadastro apenas da barragem;Cadastro;Desativado;-;17/12/2019;17/12/2019;-;-;-;0;Aproveitamento hidrelétrico;Bacia Hidrográfica dos Rios Apuaê - Inhandava;Arroio da Glória;-;Pinhal da Serra;Ponto do Barramento CGH São Jorge;"-27,8221323593531";"-51,2537617065137";-;-
2019/025.332;-;CONSTRUNÍVEL ENERGIAS RENOVÁVEIS LTDA;Água Superficial;Barragem de nível;Cadastro apenas da barragem;Cadastro;Desativado;-;16/12/2019;16/12/2019;-;-;-;0;Aproveitamento hidrelétrico;Bacia Hidrográfica dos Rios Apuaê - Inhandava;Arroio da Glória;-;Pinhal da Serra;Ponto do barramento CGH São Jorge;"-27,8221323593531";"-51,2537617065137";-;-
2019/024.861;R-001.333/2020;Bernardo José Geração de Energia Ltda;Água Superficial;Barragem de nível;Cadastro apenas da barragem;Reserva de disponibilidade hídrica;Concedida;-;10/12/2019;19/06/2020;-;-;-;2408;Aproveitamento hidrelétrico;Bacia Hidrográfica dos Rios Apuaê - Inhandava;Rio Bernardo José;-;Pinhal da Serra;Ponto 1;"-27,8621";"-51,3604";-;-
2019/024.217;-;CGH STASIAK USINA HIDRELETRICA LTDA;Água Superficial;Barragem de nível;Cadastro apenas da barragem;Cadastro;Aguardando formalização de documentos;-;03/12/2019;03/12/2019;-;-;-;100;Aproveitamento hidrelétrico;Bacia Hidrográfica dos Rios Turvo - Santa Rosa - Santo Cristo;Rio Comandaí;-;Sete de Setembro;Ponto 1;"-28,1269444444444";"-54,4622222222222";-;-
2019/023.469;R-000.838/2020;ENERBIO SERVICOS DE ENGENHARIA LTDA;Água Superficial;Barragem de nível;Cadastro apenas da barragem;Reserva de disponibilidade hídrica;Concedida;-;25/11/2019;15/04/2020;-;-;-;799473;Aproveitamento hidrelétrico;Bacia Hidrográfica do Rio Taquari-Antas;Arroio São Marcos;-;São Marcos;Ponto 1;"-29,0186486903895";"-51,122088432312";-;-
2019/022.994;O-000.629/2020;ALS GERAÇÃO DE ENERGIA SPE LTDA;Água Superficial;Barragem de nível;Cadastro apenas da barragem;Outorga;Concedida;-;20/11/2019;21/02/2020;-;-;-;145515;Aproveitamento hidrelétrico;Bacia Hidrográfica do Rio Taquari-Antas;Arroio Estrela;-;Estrela;Ponto 1;"-29,5213386449137";"-51,9057440757751";-;-
2019/022.169;-;GUARITA GERADORA DE ENERGIA LTDA;Água Superficial;Barragem de nível;Cadastro apenas da barragem;Cadastro;Aguardando alterações de dados inconsistentes;-;11/11/2019;21/07/2020;-;-;-;"412937,08";Aproveitamento hidrelétrico;Bacia Hidrográfica do Rio da Várzea;Rio Guarita;-;Erval Seco;Ponto 1;"-27,59";"-53,5819444444444";-;-
2019/021.472;R-001.142/2020;Cooperativa de Geração de Energia e Desenvolvimento Social LTDA;Água Superficial;Barragem de nível;Cadastro apenas da barragem;Reserva de disponibilidade hídrica;Concedida;-;31/10/2019;12/06/2020;-;-;-;"429589,88";Aproveitamento hidrelétrico;Bacia Hidrográfica do Rio Ijuí;Rio Conceição;-;Coronel Barros;Ponto 1;"-28,4082";"-54,0438";-;-
2019/021.194;-;EUGENIO DE CASTRO GERACAO E COMERCIO DE ENERGIA ELETRICA LTDA;Água Superficial;Barragem de nível;Cadastro apenas da barragem;Cadastro;Aguardando formalização de documentos;-;29/10/2019;27/04/2020;-;-;-;"445963,77";Aproveitamento hidrelétrico;Bacia Hidrográfica do Rio Ijuí;Rio Ijuizinho;-;Eugênio de Castro;Ponto 1;"-28,5427428128476";"-54,1852040655927";-;-
2019/021.085;-;Hidrotermica s/a.;Água Superficial;Barragem de nível;Cadastro apenas da barragem;Cadastro;Em análise;-;28/10/2019;31/07/2020;-;-;-;"5260746,22";Aproveitamento hidrelétrico;Bacia Hidrográfica do Rio Taquari-Antas;Rio Turvo;-;Ipê;Ponto 1;"-28,7937631941904";"-51,4576005935669";-;-
2019/020.046;R-000.839/2020;Vertente Engenharia Ltda;Água Superficial;Barragem de nível;Cadastro apenas da barragem;Reserva de disponibilidade hídrica;Concedida;-;15/10/2019;14/04/2020;-;-;-;2099000;Aproveitamento hidrelétrico;Bacia Hidrográfica dos Rios Apuaê - Inhandava;Rio Forquilha ou Inhandava;-;Maximiliano de Almeida;Ponto 1;"-27,6282253835692";"-51,7387559110648";-;-
2019/017.271;-;José Guilherme Antloga do Nascimento;Água Superficial;Barragem de nível;Cadastro apenas da barragem;Cadastro;Concluído;-;12/09/2019;12/09/2019;-;-;-;4090000000;Aproveitamento hidrelétrico;Bacia Hidrográfica dos Rios Turvo - Santa Rosa - Santo Cristo;Rio Turvo;-;Três Passos;Eixo da barragem;"-27,4463170394105";"-53,8421702384949";-;-
2019/017.138;-;José Guilherme Antloga do Nascimento;Água Superficial;Barragem de nível;Cadastro apenas da barragem;Cadastro;Concluído;-;10/09/2019;12/09/2019;-;-;-;8500000000;Aproveitamento hidrelétrico;Bacia Hidrográfica dos Rios Turvo - Santa Rosa - Santo Cristo;Rio Turvo;-;Miraguaí;Eixo da barragem;"-27,485842106177";"-53,8138461112976";-;-
2019/014.749;R-000.523/2020;Aecogeo Soluções Ambientais Ltda;Água Superficial;Barragem de acumulação;Cadastro apenas da barragem;Reserva de disponibilidade hídrica;Concedida;-;09/08/2019;08/01/2020;-;-;-;"1681,8";Aproveitamento hidrelétrico;Bacia Hidrográfica do Rio Taquari-Antas;Arroio Pedras Brancas;-;Campestre da Serra;Ponto 1;"-28,8130555555556";"-51,1291666666667";-;-
2019/013.774;-;Esmeralda S/A;Água Superficial;Barragem de nível;Cadastro apenas da barragem;Cadastro;Aguardando formalização de documentos;-;29/07/2019;13/08/2019;-;-;-;1370000;Aproveitamento hidrelétrico;Bacia Hidrográfica dos Rios Apuaê - Inhandava;Rio Bernardo José;-;Pinhal da Serra;Ponto Central do Eixo da Barragem;"-27,7887827675864";"-51,3478016853333";-;-
2019/013.238;-;MERLIN EMPREENDIMENTOS - EIRELI;Água Superficial;Barragem de nível;Cadastro apenas da barragem;Cadastro;Concluído;-;22/07/2019;22/07/2019;-;-;-;40000;Aproveitamento hidrelétrico;Bacia Hidrográfica do Rio Passo Fundo;Rio Erexim;-;Ponte Preta;Ponto 1;"-27,6877463026546";"-52,5435090065002";-;-
2019/013.226;-;COOPERATIVA DE DISTRIBUICAO E GERACAO DE ENERGIA DAS MISSOES;Água Superficial;Barragem de acumulação;Cadastro apenas da barragem;Cadastro;Aguardando alterações de dados inconsistentes;-;22/07/2019;22/07/2019;-;-;-;2265;Aproveitamento hidrelétrico;Bacia Hidrográfica do Rio Ijuí;Rio Ijuizinho;-;Entre-Ijuís;Eixo (ponto central);"-28,4020085740672";"-54,3117928504944";-;-
2019/010.925;-;ALOIRI PAULO FRIGO;Água Superficial;Barragem de nível;Cadastro apenas da barragem;Cadastro;Concluído;-;19/06/2019;19/06/2019;-;-;-;0;Aproveitamento hidrelétrico;Bacia Hidrográfica do Rio Taquari-Antas;ARROIO BARRA GRANDE;-;Paraí;Ponto 1;"-28,6557";"-51,8272";-;-
2019/009.554;-;CRELUZ COOPERATIVA DE GERAÇÃO DE ENERGIA E DESENVOLVIMENTO;Água Superficial;Barragem de acumulação;Cadastro apenas da barragem;Cadastro;Concluído;-;29/05/2019;01/06/2019;-;-;-;12200;Aproveitamento hidrelétrico;Bacia Hidrográfica do Rio da Várzea;Rio Jaboticaba;-;Novo Tiradentes;Ponto 1;"-27,562339571135";"-53,1882358806591";-;-
2019/009.333;-;Vertente Engenharia Ltda;Água Superficial;Barragem de nível;Cadastro apenas da barragem;Cadastro;Concluído;-;27/05/2019;27/05/2019;-;-;-;3000;Aproveitamento hidrelétrico;Bacia Hidrográfica do Rio Taquari-Antas;Arroio Guacho;-;Campestre da Serra;Ponto 1;"-28,8081108890092";"-51,02319774629";-;-
2019/009.272;-;Enebras Projetos de Usinas Hidrelétricas Ltda.;Água Superficial;Barragem de nível;Cadastro apenas da barragem;Cadastro;Concluído;-;27/05/2019;27/05/2019;-;-;-;"8717516,26";Aproveitamento hidrelétrico;Bacia Hidrográfica do Rio Taquari-Antas;Rio Ituim;-;Ipê;PONTO CENTRAL BARRAGEM;"-28,5833333333333";"-51,3286111111111";-;-
2019/009.268;O-000.840/2020;RIO DO FRADE GERAÇÃO DE ENERGIA LTDA;Água Superficial;Barragem de nível;Cadastro apenas da barragem;Outorga;Concedida;-;27/05/2019;20/04/2020;-;-;-;14600;Aproveitamento hidrelétrico;Bacia Hidrográfica dos Rios Apuaê - Inhandava;Rio do Frade;-;Esmeralda;Ponto 1;"-28,0204617307276";"-51,0283870699641";-;-
