Número do cadastro;Número da portaria;Nome do usuário de água;Natureza da intervenção;Tipo da Fonte de Captação;Tipo de Intervenção;Classificação;Status;Observação;Data de início do cadastro;Data de saída do processo;Vazão média;Vazão máxima;Unidade de medida da vazão;Volume normal armazenado (m³);Finalidades de Uso;Bacia Hidrográfica;Corpo Hídrico;Sistema Aquífero;Município;Nome da Geometria;Latitude;Longitude;Latitude (ponto final);Longitude (ponto final)
2020/016.868;-;INHACORA GERADORA DE ENERGIA ELETRICA LTDA.;Água Superficial;Barragem de nível;Cadastro apenas da barragem;Reserva de disponibilidade hídrica;Aguardando pagamento da guia;-;08/09/2020;16/09/2020;-;-;-;"2996660,26";Aproveitamento hidrelétrico;Bacia Hidrográfica dos Rios Turvo - Santa Rosa - Santo Cristo;Rio Inhacora;-;Alegria;Ponto 1;"-27,7543421403806";"-54,0079522132874";-;-
2020/014.974;R-001.688/2020;CGH SANTO ANJO GERAÇÃO DE ENERGIA S.A;Água Superficial;Barragem de nível;Cadastro apenas da barragem;Reserva de disponibilidade hídrica;Concedida;-;24/08/2020;24/09/2020;-;-;-;22650;Aproveitamento hidrelétrico;Bacia Hidrográfica do Rio Caí;Rio Piai;-;Caxias do Sul;Ponto 1;"-29,2021";"-51,0881";-;-
2020/013.600;R-001.624/2020;Z-4 Geração de Energia Elétrica;Água Superficial;Barragem de nível;Cadastro apenas da barragem;Reserva de disponibilidade hídrica;Concedida;-;10/08/2020;18/08/2020;-;-;-;11000;Aproveitamento hidrelétrico;Bacia Hidrográfica dos Rios Apuaê - Inhandava;Rio Socorro;-;Vacaria;Ponto 1;"-28,285675744838";"-50,8399415016174";-;-
2020/013.471;R-001.608/2020;Cooperativa de Geração de Energia e Desenvolvimento Social LTDA;Água Superficial;Barragem de nível;Cadastro apenas da barragem;Reserva de disponibilidade hídrica;Concedida;-;07/08/2020;26/08/2020;-;-;-;"3222,8";Aproveitamento hidrelétrico;Bacia Hidrográfica do Rio Ijuí;Arroio Conceição;-;Augusto Pestana;Ponto 1;"-28,4864035371879";"-53,9496564832986";-;-
2020/013.091;-;RIO DO FRADE GERAÇÃO DE ENERGIA LTDA;Água Superficial;Barragem de nível;Cadastro apenas da barragem;Cadastro;Concluído;-;03/08/2020;03/08/2020;-;-;-;664586;Aproveitamento hidrelétrico;Bacia Hidrográfica dos Rios Apuaê - Inhandava;Rio do Frade;-;Esmeralda;Ponto 1;"-28,0282999176807";"-51,0324265369854";-;-
2020/012.821;-;VALE DO TURVO HIDRELÉTRICA LTDA;Água Superficial;Barragem de nível;Cadastro apenas da barragem;Cadastro;Aguardando análise;-;29/07/2020;27/09/2020;-;-;-;2686000;Aproveitamento hidrelétrico;Bacia Hidrográfica do Rio Taquari-Antas;Rio Turvo;-;Ipê;Ponto 1;"-28,7280647929086";"-51,4343480359275";-;-
2020/012.816;R-001.692/2020;VALE DO TURVO HIDRELÉTRICA LTDA;Água Superficial;Barragem de nível;Cadastro apenas da barragem;Reserva de disponibilidade hídrica;Concedida;-;29/07/2020;11/09/2020;-;-;-;2449857;Aproveitamento hidrelétrico;Bacia Hidrográfica do Rio Taquari-Antas;Rio Turvo;-;Ipê;Ponto 1;"-28,6968624392378";"-51,4359359036644";-;-
2020/012.793;R-001.693/2020;VALE DO TURVO HIDRELÉTRICA LTDA;Água Superficial;Barragem de nível;Cadastro apenas da barragem;Reserva de disponibilidade hídrica;Concedida;-;29/07/2020;11/09/2020;-;-;-;5902000;Aproveitamento hidrelétrico;Bacia Hidrográfica do Rio Taquari-Antas;Rio Turvo;-;Ipê;Ponto 1;"-28,6801505212404";"-51,450097967263";-;-
2020/012.601;-;Fernando Isoton;Água Superficial;Barragem de acumulação;Cadastro apenas da barragem;Cadastro;Aguardando alterações de dados inconsistentes;-;28/07/2020;21/08/2020;-;-;-;72087;Aproveitamento hidrelétrico;Bacia Hidrográfica do Rio Ibicuí;Rio Toropi-Mirim;-;Quevedos;Ponto 1;"-29,3891";"-54,1959";-;-
2020/012.232;R-001.677/2020;VALE DO TURVO HIDRELÉTRICA LTDA;Água Superficial;Barragem de nível;Cadastro apenas da barragem;Reserva de disponibilidade hídrica;Concedida;-;22/07/2020;22/07/2020;-;-;-;880000;Aproveitamento hidrelétrico;Bacia Hidrográfica do Rio Taquari-Antas;Rio Turvo;-;André da Rocha;Ponto 1;"-28,6365014666689";"-51,4019469510276";-;-
2020/011.908;-;ESB ENGENHARIA LTDA;Água Superficial;Barragem de nível;Cadastro apenas da barragem;Cadastro;Concluído;-;16/07/2020;16/07/2020;-;-;-;0;Aproveitamento hidrelétrico;Bacia Hidrográfica dos Rios Apuaê - Inhandava;Rio Apuaê ou Ligeiro;-;Sananduva;Ponto 1;"-27,9060344012094";"-51,9250130653381";-;-
2020/011.687;R-001.607/2020;SAULO SALLES BEVILACQUA NETO;Água Superficial;Barragem de nível;Cadastro apenas da barragem;Reserva de disponibilidade hídrica;Concedida;-;13/07/2020;28/08/2020;-;-;-;"8292,62";Aproveitamento hidrelétrico;Bacia Hidrográfica do Alto Jacuí;Arroio da Reserva;-;Pinhal Grande;Ponto 1;"-29,1880600986026";"-53,3473992347717";-;-
2020/011.305;-;DELFES ENGENHARIA LTDA;Água Superficial;Barragem de nível;Cadastro apenas da barragem;Cadastro;Aguardando formalização de documentos;-;07/07/2020;15/09/2020;-;-;-;1290;Aproveitamento hidrelétrico;Bacia Hidrográfica do Rio Taquari-Antas;Arroio Vicente Rosa;-;Fagundes Varela;Ponto 1;"-28,9232";"-51,6831";-;-
