Número do cadastro;Número da portaria;Nome do usuário de água;Natureza da intervenção;Tipo da Fonte de Captação;Tipo de Intervenção;Classificação;Status;Observação;Data de início do cadastro;Data de saída do processo;Vazão média;Vazão máxima;Unidade de medida da vazão;Volume normal armazenado (m³);Finalidades de Uso;Bacia Hidrográfica;Corpo Hídrico;Sistema Aquífero;Município;Nome da Geometria;Latitude;Longitude;Latitude (ponto final);Longitude (ponto final)
2020/003.707;-;Cooperativa de Geração de Energia e Desenvolvimento Social LTDA;Água Superficial;Barragem de nível;Adução para aproveitamento hidrelétrico;Cadastro;Concluído;-;06/03/2020;09/03/2020;-;-;-;0;Aproveitamento hidrelétrico;Bacia Hidrográfica dos Rios Turvo - Santa Rosa - Santo Cristo;-;-;Chiapetta;Linha 1;"-53,9701449323";"-27,9612307078493";"-53,9733250733429";"-27,9620293530776"
2020/003.297;-;HDE 01 PARTICIPACOES SOCIETARIAS EIRELI;Água Superficial;Barragem de acumulação;Adução para aproveitamento hidrelétrico;Cadastro;Concluído;-;28/02/2020;28/02/2020;-;-;-;0;Aproveitamento hidrelétrico;Bacia Hidrográfica do Rio Taquari-Antas;-;-;Caxias do Sul;Linha 1;"-51,0078692436218";"-29,0232269844074";"-51,0136198997497";"-29,0228517220423"
2020/002.905;-;HDE 01 PARTICIPACOES SOCIETARIAS EIRELI;Água Superficial;Barragem de acumulação;Cadastro apenas da barragem;Cadastro;Concluído;-;20/02/2020;28/02/2020;-;-;-;15000;Aproveitamento hidrelétrico;Bacia Hidrográfica do Rio Taquari-Antas;Arroio São Marcos;-;Caxias do Sul;Ponto 1;"-51,0080409049988";"-29,0231519320435";-;-
2020/002.880;-;LINHA ONZE OESTE ENERGIA LTDA;Água Superficial;Barragem de nível;Adução para aproveitamento hidrelétrico;Cadastro;Concluído;-;19/02/2020;20/02/2020;-;-;-;0;Aproveitamento hidrelétrico;Bacia Hidrográfica do Rio Ijuí;-;-;Coronel Barros;Linha 1;"-54,0040460648516";"-28,3511075161958";"-54,0367737150361";"-28,3578043938358"
2020/002.866;-;LINHA ONZE OESTE ENERGIA LTDA;Água Superficial;Barragem de nível;Cadastro apenas da barragem;Cadastro;Aguardando formalização de documentos;-;19/02/2020;19/02/2020;-;-;-;"1141579,48";Aproveitamento hidrelétrico;Bacia Hidrográfica do Rio Ijuí;Rio Ijuí;-;Coronel Barros;Ponto 1;"-54,0045500199785";"-28,3511124417778";-;-
2020/002.683;-;Cooperativa de Geração de Energia e Desenvolvimento Social LTDA;Água Superficial;Barragem de nível;Cadastro apenas da barragem;Cadastro;Aguardando formalização de documentos;-;17/02/2020;05/03/2020;-;-;-;79464;Aproveitamento hidrelétrico;Bacia Hidrográfica dos Rios Turvo - Santa Rosa - Santo Cristo;Rio Buricá;-;Chiapetta;Ponto 1;"-53,9701307613505";"-27,9612491935233";-;-
2020/002.264;-;SILVEIRA III ENERGÉTICA S.A.;Água Superficial;Barragem de nível;Adução para aproveitamento hidrelétrico;Cadastro;Concluído;-;10/02/2020;19/02/2020;-;-;-;0;Aproveitamento hidrelétrico;Bacia Hidrográfica dos Rios Apuaê - Inhandava;-;-;São José dos Ausentes;Adução;"-49,9892516026011";"-28,5229272423213";"-50,0130267033092";"-28,5109358802243"
2020/001.894;-;Hidroelétrica Sperotto Queda do Turvo Ltda;Água Superficial;Barragem de nível;Adução para aproveitamento hidrelétrico;Cadastro;Aguardando análise;-;04/02/2020;05/02/2020;-;-;-;0;Aproveitamento hidrelétrico;Bacia Hidrográfica dos Rios Turvo - Santa Rosa - Santo Cristo;-;-;Santo Augusto;Linha 1;"-53,6949276924133";"-27,871099847396";"-53,6977601051331";"-27,8697720361917"
2020/001.781;-;BORTOLON AGROCOMERCIAL EIRELI;Água Superficial;Barragem de acumulação;Adução para aproveitamento hidrelétrico;Cadastro;Aguardando análise;-;31/01/2020;31/01/2020;-;-;-;0;Aproveitamento hidrelétrico;Bacia Hidrográfica dos Rios Apuaê - Inhandava;-;-;Vacaria;Alça de vazão reduzida;"-50,8555838996835";"-28,2991233648831";"-50,8490607673593";"-28,2926995000087"
2020/001.754;-;BORTOLON AGROCOMERCIAL EIRELI;Água Superficial;Barragem de acumulação;Cadastro apenas da barragem;Cadastro;Aguardando análise;-;31/01/2020;31/01/2020;-;-;-;"20588,4";Aproveitamento hidrelétrico;Bacia Hidrográfica dos Rios Apuaê - Inhandava;Rio Socorro;-;Vacaria;Ponto 1;"-50,8559701377817";"-28,2990821433521";-;-
2020/001.523;-;ENERBIO SERVICOS DE ENGENHARIA LTDA;Água Superficial;Barragem de nível;Cadastro apenas da barragem;Cadastro;Aguardando análise;-;28/01/2020;28/01/2020;-;-;-;300000;Aproveitamento hidrelétrico;Bacia Hidrográfica do Rio da Várzea;Rio Fortaleza;-;Erval Seco;Ponto 1;"-53,5472";"-27,4186";-;-
2020/001.400;-;BARRA DOS CAIXÕES EMPREENDIMENTOS EM ENERGIA LTDA;Água Superficial;Barragem de acumulação;Cadastro apenas da barragem;Cadastro;Concluído;-;24/01/2020;24/01/2020;-;-;-;23720000;Aproveitamento hidrelétrico;Bacia Hidrográfica do Alto Jacuí;Rio Jacuizinho;-;Arroio do Tigre;Ponto 1;"-53,0740928649902";"-29,1970141088696";-;-
2020/001.393;-;LAGOÃO EMPREENDIMENTOS EM ENERGIA LTDA;Água Superficial;Barragem de acumulação;Cadastro apenas da barragem;Cadastro;Concluído;-;24/01/2020;24/01/2020;-;-;-;4830000;Aproveitamento hidrelétrico;Bacia Hidrográfica do Alto Jacuí;Rio Jacuizinho;-;Arroio do Tigre;Ponto 1;"-53,0951642990112";"-29,2077653808761";-;-
2020/001.383;-;FLORESTA EMPREENDIMENTOS EM ENERGIA S/A;Água Superficial;Barragem de acumulação;Cadastro apenas da barragem;Cadastro;Concluído;-;24/01/2020;24/01/2020;-;-;-;13760000;Aproveitamento hidrelétrico;Bacia Hidrográfica do Alto Jacuí;Rio Jacuizinho;-;Arroio do Tigre;Ponto 1;"-53,143036365509";"-29,2995360263117";-;-
2020/001.330;-;TAQUARAL EMPREENDIMENTOS EM ENERGIA LTDA;Água Superficial;Barragem de acumulação;Cadastro apenas da barragem;Cadastro;Concluído;-;23/01/2020;23/01/2020;-;-;-;13000000;Aproveitamento hidrelétrico;Bacia Hidrográfica do Alto Jacuí;Rio Jacuizinho;-;Arroio do Tigre;Ponto 1;"-53,1617045402527";"-29,3237847550153";-;-
2020/001.053;-;CGH STASIAK USINA HIDRELETRICA LTDA;Água Superficial;Barragem de nível;Adução para aproveitamento hidrelétrico;Cadastro;Concluído;-;21/01/2020;23/01/2020;-;-;-;0;Aproveitamento hidrelétrico;Bacia Hidrográfica dos Rios Turvo - Santa Rosa - Santo Cristo;-;-;Sete de Setembro;Linha 1;"-54,461932182312";"-28,1269107673554";"-54,4640779495239";"-28,1283868011107"
2020/000.817;-;CONSTRUNÍVEL ENERGIAS RENOVÁVEIS LTDA;Água Superficial;Barragem de nível;Adução para aproveitamento hidrelétrico;Cadastro;Desativado;-;17/01/2020;17/01/2020;-;-;-;0;Aproveitamento hidrelétrico;Bacia Hidrográfica dos Rios Apuaê - Inhandava;-;-;Pinhal da Serra;Linha 1;"-51,2447";"-27,8099";"-51,2276";"-27,7809"
2020/000.802;-;CONSTRUNÍVEL ENERGIAS RENOVÁVEIS LTDA;Água Superficial;Barragem de nível;Cadastro apenas da barragem;Cadastro;Desativado;-;16/01/2020;16/01/2020;-;-;-;0;Aproveitamento hidrelétrico;Bacia Hidrográfica dos Rios Apuaê - Inhandava;Arroio da Glória;-;Pinhal da Serra;Ponto Barramento;"-51,2446845106991";"-27,8099241856622";-;-
2020/000.681;-;USINA HIDRELETRICA SUZANA I LTDA;Água Superficial;Barragem de nível;Adução para aproveitamento hidrelétrico;Cadastro;Aguardando análise;-;15/01/2020;16/01/2020;-;-;-;0;Aproveitamento hidrelétrico;Bacia Hidrográfica dos Rios Apuaê - Inhandava;-;-;Gaurama;TRAÇADO CANAL E CASA DE FORÇA;"-52,0827717555066";"-27,5148796337809";"-52,0856786453871";"-27,5111011649058"
2020/000.536;-;USINA HIDRELETRICA SUZANA I LTDA;Água Superficial;Barragem de nível;Cadastro apenas da barragem;Cadastro;Aguardando análise;-;13/01/2020;16/01/2020;-;-;-;"219852,32";Aproveitamento hidrelétrico;Bacia Hidrográfica dos Rios Apuaê - Inhandava;Rio Suzana;-;Gaurama;Centro barramento;"-52,082783435041";"-27,5152597908802";-;-
2020/000.376;O-000.645/2020;COOPERATIVA DE DESENVOLVIMENTO SOCIAL ENTRE RIOS LTDA.;Água Superficial;Barragem de nível;Adução para aproveitamento hidrelétrico;Outorga;Concedida;-;09/01/2020;02/03/2020;-;-;-;0;Aproveitamento hidrelétrico;Bacia Hidrográfica dos Rios Turvo - Santa Rosa - Santo Cristo;-;-;Inhacorá;Canal de adução;"-54,1074299812317";"-27,8970078768286";"-54,1031384468079";"-27,8913943643381"
2020/000.360;O-000.645/2020;COOPERATIVA DE DESENVOLVIMENTO SOCIAL ENTRE RIOS LTDA.;Água Superficial;Barragem de nível;Cadastro apenas da barragem;Outorga;Concedida;-;09/01/2020;02/03/2020;-;-;-;280000;Aproveitamento hidrelétrico;Bacia Hidrográfica dos Rios Turvo - Santa Rosa - Santo Cristo;Rio Buricá;-;Inhacorá;Ponto 1;"-54,1075158119202";"-27,8971975174369";-;-
2020/000.225;-;ALOIRI PAULO FRIGO;Água Superficial;Barragem de nível;Cadastro apenas da barragem;Cadastro;Concluído;-;07/01/2020;17/02/2020;-;-;-;950;Aproveitamento hidrelétrico;Bacia Hidrográfica do Rio Taquari-Antas;Arroio Barra Grande;-;Paraí;Ponto Centro Barragem;"-51,8270532550477";"-28,6557368700625";-;-
2019/025.609;-;CONSTRUNÍVEL ENERGIAS RENOVÁVEIS LTDA;Água Superficial;Barragem de acumulação;Adução para aproveitamento hidrelétrico;Cadastro;Aguardando análise;-;17/12/2019;17/12/2019;-;-;-;0;Aproveitamento hidrelétrico;Bacia Hidrográfica dos Rios Apuaê - Inhandava;-;-;Pinhal da Serra;CANAL ADUTOR;"-51,2537180333901";"-27,8219783147022";"-51,2476700540487";"-27,8126162973158"
2019/025.605;-;CONSTRUNÍVEL ENERGIAS RENOVÁVEIS LTDA;Água Superficial;Barragem de acumulação;Cadastro apenas da barragem;Cadastro;Aguardando análise;-;17/12/2019;17/12/2019;-;-;-;0;Aproveitamento hidrelétrico;Bacia Hidrográfica dos Rios Apuaê - Inhandava;Arroio da Glória;-;Pinhal da Serra;Ponto 1;"-51,2537617065137";"-27,8221323593531";-;-
2019/025.598;-;CONSTRUNÍVEL ENERGIAS RENOVÁVEIS LTDA;Água Superficial;Barragem de nível;Adução para aproveitamento hidrelétrico;Cadastro;Desativado;-;17/12/2019;17/12/2019;-;-;-;0;Aproveitamento hidrelétrico;Bacia Hidrográfica dos Rios Apuaê - Inhandava;-;-;Pinhal da Serra;Canal de Adução;"-51,2537180333901";"-27,8219783147022";"-51,2476700540487";"-27,8126162973158"
2019/025.588;-;CONSTRUNÍVEL ENERGIAS RENOVÁVEIS LTDA;Água Superficial;Barragem de nível;Cadastro apenas da barragem;Cadastro;Desativado;-;17/12/2019;17/12/2019;-;-;-;0;Aproveitamento hidrelétrico;Bacia Hidrográfica dos Rios Apuaê - Inhandava;Arroio da Glória;-;Pinhal da Serra;Ponto do Barramento CGH São Jorge;"-51,2537617065137";"-27,8221323593531";-;-
